date,price,total_volume,market_cap,coin_name,year,month,day,day_of_week,week_of_year,quarter,price_ma_7d,total_volume_ma_7d,market_cap_ma_7d,price_ma_30d,total_volume_ma_30d,market_cap_ma_30d,price_lag_1,price_lag_2,price_lag_3,price_rolling_mean_7,price_rolling_mean_30
2015-01-31 00:00:00.000,218.0233,92459195.6343594,3005342178.85,bitcoin,2015,1,31,5,5,1,244.52147746149916,197047310.71626553,3367081361.6607966,248.62133699771456,141805146.69556665,3412760696.198138,228.6354,232.5329422304941,259.2356,244.52147746149916,248.62133699771456
2015-02-01 00:00:00.000,226.2697,100844154.3350744,3119897131.48,bitcoin,2015,2,1,6,5,1,241.40343460435628,192177426.3262122,3325134973.015082,245.69726033104791,143599973.03711334,3373625322.3474717,218.0233,228.6354,232.5329422304941,241.40343460435628,245.69726033104791
2015-02-02 00:00:00.000,240.0193,108043831.20772208,3310466195.25,bitcoin,2015,2,2,0,6,1,239.42920603292777,187265567.2288978,3299012344.3611536,243.21637033104793,145906237.20068625,3340592584.365805,226.2697,218.0233,228.6354,239.42920603292777,243.21637033104793
2015-02-03 00:00:00.000,226.0119,135790231.88905972,3117998019.1275,bitcoin,2015,2,3,1,6,1,232.96116317578486,149270465.1376972,3210964014.1450815,241.1977003310479,146473280.21668392,3313813914.6000547,240.0193,226.2697,218.0233,232.96116317578486,241.1977003310479
2015-02-04 00:00:00.000,225.3083,83155505.15562138,3109175682.095,bitcoin,2015,2,4,2,6,1,228.11440603292772,112585288.05359618,3145313682.721511,240.01011033104794,142395125.42288172,3298398444.6432214,226.0119,240.0193,226.2697,228.11440603292772,240.01011033104794
2015-02-05 00:00:00.000,216.9136,74142168.01402433,2994172300.44,bitcoin,2015,2,5,3,6,1,225.8830714285714,100038231.26293646,3115393703.008214,238.1332303310479,139698593.50815517,3273508173.7745547,225.3083,226.0119,240.0193,225.8830714285714,238.1332303310479
2015-02-06 00:00:00.000,222.4872,88164946.84338237,3072075446.7,bitcoin,2015,2,6,4,6,1,225.00475714285716,97514290.43989195,3104160993.420357,236.0370103310479,139403995.203721,3245630414.619555,216.9136,225.3083,226.0119,225.00475714285716,236.0370103310479
2015-02-07 00:00:00.000,227.2050999999999,80694160.19495533,3138151161.072499,bitcoin,2015,2,7,5,6,1,226.31644285714285,95833571.09140566,3123133705.166428,233.74809699771458,138404659.44426104,3215127495.2407217,222.4872,216.9136,225.3083,226.31644285714285,233.74809699771458
2015-02-08 00:00:00.000,222.9061,76979240.31280218,3079497925.3725,bitcoin,2015,2,8,6,6,1,225.83592857142858,92424297.65965249,3117362390.008214,231.69655033104792,138084949.30566826,3187849954.0114717,227.2050999999999,222.4872,216.9136,225.83592857142858,231.69655033104792
2015-02-09 00:00:00.000,220.0922,79154588.47482522,3041547650.985,bitcoin,2015,2,9,0,7,1,222.98919999999998,88297262.98352435,3078945455.113214,229.38049699771457,137940822.24559185,3156935121.9014716,222.9061,227.2050999999999,222.4872,222.98919999999998,229.38049699771457
2015-02-10 00:00:00.000,220.6493,66708973.92079521,3049996660.2725,bitcoin,2015,2,10,1,7,1,222.22311428571427,78428511.84520087,3069230975.276786,227.58437366438122,137074993.52186486,3133138037.2463884,220.0922,222.9061,227.2050999999999,222.22311428571427,227.58437366438122
2015-02-11 00:00:00.000,219.0956,65150873.75436823,3029418429.03,bitcoin,2015,2,11,2,7,1,221.3355857142857,75856421.64502184,3057837081.9817853,225.98142699771458,136804798.0499806,3111978603.0940547,220.6493,220.0922,222.9061,221.3355857142857,225.98142699771458
2015-02-12 00:00:00.000,222.0401587875259,51632481.43908263,3070809845.027513,bitcoin,2015,2,12,3,7,1,222.06795125536084,72640752.13431588,3068785302.637145,224.43764336726733,135893140.26839098,3091633769.44927,219.0956,220.6493,220.0922,222.06795125536084,224.43764336726733
